date,hdb_resale_transactions,BUYER,SELLER,agent_engagements,year,month_num,agent_engagements_per_100_resales,seller_rep_records_per_100_resales,buyer_rep_records_per_100_resales
2017-01-01,1185,1053,1400,2453,2017,1,207.0042194092827,118.14345991561181,88.86075949367088
2017-02-01,1085,1086,1510,2596,2017,2,239.26267281105993,139.1705069124424,100.09216589861751
2017-03-01,1903,935,1375,2310,2017,3,121.38728323699422,72.25433526011561,49.13294797687861
2017-04-01,1839,1003,1465,2468,2017,4,134.20337139749864,79.66286025013595,54.5405111473627
2017-05-01,1980,1096,1617,2713,2017,5,137.02020202020202,81.66666666666667,55.35353535353536
2017-06-01,1747,893,1360,2253,2017,6,128.9639381797367,77.84773898111047,51.11619919862621
2017-07-01,1780,964,1475,2439,2017,7,137.02247191011236,82.86516853932584,54.157303370786515
2017-08-01,1960,1046,1588,2634,2017,8,134.3877551020408,81.0204081632653,53.367346938775505
2017-09-01,1680,992,1528,2520,2017,9,150.0,90.95238095238095,59.04761904761905
2017-10-01,1785,1117,1706,2823,2017,10,158.15126050420167,95.57422969187675,62.57703081232493
2017-11-01,1980,1177,1822,2999,2017,11,151.46464646464645,92.02020202020202,59.44444444444444
2017-12-01,1585,1130,1824,2954,2017,12,186.37223974763407,115.0788643533123,71.29337539432177
2018-01-01,1072,1225,1859,3084,2018,1,287.6865671641791,173.4141791044776,114.2723880597015
2018-02-01,1183,851,1376,2227,2018,2,188.2502113271344,116.31445477599325,71.93575655114117
2018-03-01,1881,1013,1676,2689,2018,3,142.9558745348219,89.10154173312068,53.85433280170122
2018-04-01,1838,1244,2162,3406,2018,4,185.31011969532102,117.62785636561479,67.6822633297062
2018-05-01,1740,1372,2372,3744,2018,5,215.17241379310343,136.32183908045977,78.85057471264368
2018-06-01,1975,969,1716,2685,2018,6,135.94936708860757,86.8860759493671,49.063291139240505
2018-07-01,2539,942,1655,2597,2018,7,102.28436392280425,65.1831429696731,37.101220953131154
2018-08-01,2067,1249,2049,3298,2018,8,159.55491049830673,99.12917271407838,60.42573778422835
2018-09-01,1985,1134,1955,3089,2018,9,155.61712846347606,98.48866498740554,57.12846347607052
2018-10-01,1992,1115,1960,3075,2018,10,154.36746987951807,98.39357429718876,55.97389558232931
2018-11-01,1866,1143,1962,3105,2018,11,166.39871382636656,105.14469453376205,61.2540192926045
2018-12-01,1423,1012,1663,2675,2018,12,187.98313422347155,116.865776528461,71.11735769501054
2019-01-01,1550,1036,1759,2795,2019,1,180.32258064516128,113.48387096774192,66.83870967741935
2019-02-01,1304,678,1166,1844,2019,2,141.4110429447853,89.41717791411043,51.99386503067485
2019-03-01,1653,709,1254,1963,2019,3,118.75378100423472,75.86206896551724,42.891712038717486
2019-04-01,1915,714,1317,2031,2019,4,106.0574412532637,68.77284595300262,37.284595300261095
2019-05-01,2070,746,1306,2052,2019,5,99.1304347826087,63.091787439613526,36.03864734299517
2019-06-01,1884,836,1460,2296,2019,6,121.86836518046708,77.49469214437367,44.37367303609342
2019-07-01,2114,1081,1905,2986,2019,7,141.2488174077578,90.1135288552507,51.1352885525071
2019-08-01,1902,1059,1910,2969,2019,8,156.09884332281808,100.42060988433228,55.678233438485805
2019-09-01,1830,1006,1777,2783,2019,9,152.0765027322404,97.10382513661202,54.97267759562842
2019-10-01,2206,1074,1856,2930,2019,10,132.8195829555757,84.13417951042611,48.685403445149596
2019-11-01,1910,997,1710,2707,2019,11,141.72774869109946,89.52879581151832,52.19895287958115
2019-12-01,1848,1118,1987,3105,2019,12,168.0194805194805,107.52164502164503,60.497835497835496
2020-01-01,1911,1032,1780,2812,2020,1,147.14809000523286,93.14495028780743,54.00313971742543
2020-02-01,1661,921,1580,2501,2020,2,150.5719446116797,95.1234196267309,55.44852498494882
2020-03-01,1937,977,1734,2711,2020,3,139.9586990191017,89.5198760970573,50.4388229220444
2020-04-01,424,886,1697,2583,2020,4,609.1981132075472,400.23584905660374,208.96226415094338
2020-05-01,363,917,1595,2512,2020,5,692.0110192837466,439.3939393939394,252.61707988980717
2020-06-01,2438,241,391,632,2020,6,25.922887612797375,16.037735849056602,9.88515176374077
2020-07-01,2456,434,716,1150,2020,7,46.82410423452769,29.153094462540718,17.67100977198697
2020-08-01,2426,1232,2096,3328,2020,8,137.1805441055235,86.39736191261336,50.78318219291014
2020-09-01,2482,1275,2137,3412,2020,9,137.46978243352135,86.09991941982273,51.369863013698634
2020-10-01,2427,1467,2391,3858,2020,10,158.96168108776268,98.51668726823239,60.44499381953028
2020-11-01,2322,1313,2062,3375,2020,11,145.3488372093023,88.80275624461672,56.54608096468562
2020-12-01,2486,1408,2242,3650,2020,12,146.82220434432824,90.18503620273532,56.63716814159292
2021-01-01,2491,1383,2175,3558,2021,1,142.83420313127257,87.31433159373746,55.519871537535124
2021-02-01,2160,1166,1849,3015,2021,2,139.58333333333331,85.60185185185185,53.98148148148149
2021-03-01,2443,1648,2569,4217,2021,3,172.61563651248466,105.15759312320915,67.45804338927547
2021-04-01,2333,1373,2267,3640,2021,4,156.02228889841405,97.17102443206173,58.85126446635234
2021-05-01,1957,1293,2035,3328,2021,5,170.05620848237098,103.98569238630557,66.0705160960654
2021-06-01,2302,1295,2208,3503,2021,6,152.17202432667244,95.91659426585578,56.25543006081668
2021-07-01,2659,1306,2063,3369,2021,7,126.70176758179767,77.58555848063182,49.11620910116585
2021-08-01,2739,1318,2109,3427,2021,8,125.11865644395766,76.99890470974809,48.119751734209565
2021-09-01,2516,1510,2364,3874,2021,9,153.9745627980922,93.95866454689984,60.01589825119237
2021-10-01,2499,1533,2415,3948,2021,10,157.98319327731093,96.63865546218487,61.34453781512605
2021-11-01,2566,1511,2366,3877,2021,11,151.09119251753702,92.20576773187841,58.885424785658614
2021-12-01,2422,1666,2556,4222,2021,12,174.31874483897604,105.53261767134599,68.78612716763006
2022-01-01,2442,1418,2229,3647,2022,1,149.34479934479933,91.27764127764128,58.06715806715806
2022-02-01,1895,1251,1937,3188,2022,2,168.23218997361477,102.21635883905013,66.01583113456464
2022-03-01,2262,1511,2262,3773,2022,3,166.79929266136162,100.0,66.79929266136163
2022-04-01,2262,1304,2044,3348,2022,4,148.0106100795756,90.36251105216623,57.64809902740937
2022-05-01,2154,1252,1966,3218,2022,5,149.39647168059423,91.27205199628598,58.12441968430826
2022-06-01,2135,1233,2005,3238,2022,6,151.66276346604215,93.91100702576112,57.751756440281035
2022-07-01,2361,1362,2077,3439,2022,7,145.65861922914019,87.9711986446421,57.68742058449809
2022-08-01,2309,1334,2036,3370,2022,8,145.95062797747943,88.17669987007363,57.7739281074058
2022-09-01,2578,1559,2316,3875,2022,9,150.31031807602793,89.83708301008534,60.47323506594259
2022-10-01,1958,1274,1885,3159,2022,10,161.33810010214503,96.27170582226762,65.06639427987743
2022-11-01,2130,1587,2365,3952,2022,11,185.5399061032864,111.03286384976525,74.50704225352112
2022-12-01,2234,1399,2000,3399,2022,12,152.14861235452105,89.52551477170994,62.623097582811106
2023-01-01,2551,1211,1752,2963,2023,1,116.15052920423364,68.67894943159544,47.47157977263819
2023-02-01,1837,1353,1925,3278,2023,2,178.4431137724551,104.79041916167664,73.65269461077844
2023-03-01,2277,1635,2406,4041,2023,3,177.47035573122528,105.66534914361002,71.80500658761528
2023-04-01,2177,1151,1654,2805,2023,4,128.8470372071658,75.97611391823611,52.87092328892972
2023-05-01,2245,1357,2121,3478,2023,5,154.92204899777283,94.47661469933185,60.44543429844098
2023-06-01,1853,1392,2075,3467,2023,6,187.10199676200756,111.9805720453319,75.12142471667566
2023-07-01,2052,1387,2013,3400,2023,7,165.69200779727095,98.09941520467837,67.5925925925926
2023-08-01,2467,1337,1929,3266,2023,8,132.38751520064855,78.1921361978111,54.19537900283745
2023-09-01,1974,1358,1921,3279,2023,9,166.10942249240122,97.31509625126647,68.79432624113475
2023-10-01,2189,1356,2008,3364,2023,10,153.6774783005939,91.73138419369576,61.94609410689813
2023-11-01,2128,1349,2045,3394,2023,11,159.49248120300751,96.09962406015038,63.39285714285714
2023-12-01,2004,979,1477,2456,2023,12,122.55489021956087,73.70259481037924,48.852295409181636
2024-01-01,2621,1393,2031,3424,2024,1,130.63716138878289,77.48950782144219,53.14765356734071
2024-02-01,2123,810,1174,1984,2024,2,93.45266132830899,55.299105040037674,38.15355628827131
2024-03-01,2046,1483,2153,3636,2024,3,177.7126099706745,105.22971652003909,72.48289345063539
2024-04-01,2370,1450,2108,3558,2024,4,150.126582278481,88.9451476793249,61.18143459915611
2024-05-01,2490,1554,2215,3769,2024,5,151.36546184738955,88.95582329317268,62.409638554216876
2024-06-01,2171,1345,1907,3252,2024,6,149.79272224781207,87.83970520497466,61.9530170428374
2024-07-01,3036,1695,2397,4092,2024,7,134.7826086956522,78.95256916996047,55.8300395256917
2024-08-01,2591,1574,2292,3866,2024,8,149.2087996912389,88.46005403319181,60.748745658047085
2024-09-01,2204,1710,2440,4150,2024,9,188.2940108892922,110.70780399274047,77.58620689655173
2024-10-01,2139,1727,2377,4104,2024,10,191.86535764375876,111.12669471715755,80.73866292660121
2024-11-01,1929,1473,2059,3532,2024,11,183.1000518403318,106.73924313115603,76.36080870917574
2024-12-01,2112,1395,1884,3279,2024,12,155.2556818181818,89.20454545454545,66.05113636363636
2025-01-01,2313,1291,1752,3043,2025,1,131.56074362300043,75.74578469520104,55.814958927799395
2025-02-01,2091,1481,2102,3583,2025,2,171.35341941654713,100.52606408417026,70.82735533237685
2025-03-01,1899,1444,1936,3380,2025,3,177.9884149552396,101.94839389152186,76.04002106371775
2025-04-01,2297,1493,2160,3653,2025,4,159.0335219851981,94.03569873748367,64.99782324771442
2025-05-01,2266,1209,1760,2969,2025,5,131.02383053839364,77.66990291262135,53.35392762577229
2025-06-01,2260,1368,1956,3324,2025,6,147.0796460176991,86.54867256637168,60.53097345132743
2025-07-01,2562,1593,2302,3895,2025,7,152.0296643247463,89.85167837626854,62.177985948477755
2025-08-01,2203,1348,2006,3354,2025,8,152.2469359963686,91.05764866091694,61.18928733545166
2025-09-01,2174,1488,2188,3676,2025,9,169.0892364305428,100.64397424103035,68.44526218951242
2025-10-01,1338,1521,2244,3765,2025,10,281.390134529148,167.71300448430492,113.67713004484305
2025-11-01,1658,1075,1634,2709,2025,11,163.38962605548855,98.5524728588661,64.83715319662244
2025-12-01,2024,933,1449,2382,2025,12,117.68774703557312,71.5909090909091,46.09683794466403
2026-01-01,2339,1110,1704,2814,2026,1,120.30782385634886,72.85164600256519,47.45617785378367
2026-02-01,1662,878,1368,2246,2026,2,135.1383874849579,82.31046931407943,52.82791817087846
2026-03-01,2044,1160,1755,2915,2026,3,142.61252446183954,85.86105675146771,56.75146771037182
2026-04-01,1935,1083,1642,2725,2026,4,140.82687338501293,84.85788113695091,55.96899224806201
2026-05-01,2130,1055,1626,2681,2026,5,125.86854460093898,76.33802816901408,49.53051643192488
2026-06-01,2135,586,870,1456,2026,6,68.1967213114754,40.749414519906324,27.447306791569087
