year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6
2026,ANG MO KIO,ANG MO KIO TOWN CENTRE,Linear,52.666666666656965
2027,ANG MO KIO,ANG MO KIO TOWN CENTRE,Linear,1.1515151515050093
2028,ANG MO KIO,ANG MO KIO TOWN CENTRE,Linear,0.0
2029,ANG MO KIO,ANG MO KIO TOWN CENTRE,Linear,0.0
2030,ANG MO KIO,ANG MO KIO TOWN CENTRE,Linear,0.0
2026,ANG MO KIO,ANG MO KIO TOWN CENTRE,Prophet,107.15385383338366
2027,ANG MO KIO,ANG MO KIO TOWN CENTRE,Prophet,66.76698370417216
2028,ANG MO KIO,ANG MO KIO TOWN CENTRE,Prophet,26.269464615702486
2029,ANG MO KIO,ANG MO KIO TOWN CENTRE,Prophet,0.0
2030,ANG MO KIO,ANG MO KIO TOWN CENTRE,Prophet,0.0
2026,ANG MO KIO,CHENG SAN,Linear,404.66666666662786
2027,ANG MO KIO,CHENG SAN,Linear,162.87878787878435
2028,ANG MO KIO,CHENG SAN,Linear,0.0
2029,ANG MO KIO,CHENG SAN,Linear,0.0
2030,ANG MO KIO,CHENG SAN,Linear,0.0
2026,ANG MO KIO,CHENG SAN,Prophet,609.4461579806937
2027,ANG MO KIO,CHENG SAN,Prophet,405.8209411237444
2028,ANG MO KIO,CHENG SAN,Prophet,201.63784696033736
2029,ANG MO KIO,CHENG SAN,Prophet,0.0
2030,ANG MO KIO,CHENG SAN,Prophet,0.0
2026,ANG MO KIO,CHONG BOON,Linear,371.33333333337214
2027,ANG MO KIO,CHONG BOON,Linear,190.39393939397996
2028,ANG MO KIO,CHONG BOON,Linear,9.454545454587787
2029,ANG MO KIO,CHONG BOON,Linear,0.0
2030,ANG MO KIO,CHONG BOON,Linear,0.0
2026,ANG MO KIO,CHONG BOON,Prophet,481.136747826128
2027,ANG MO KIO,CHONG BOON,Prophet,316.5684234318923
2028,ANG MO KIO,CHONG BOON,Prophet,151.5492269160267
2029,ANG MO KIO,CHONG BOON,Prophet,0.0
2030,ANG MO KIO,CHONG BOON,Prophet,0.0
2026,ANG MO KIO,KEBUN BAHRU,Linear,381.33333333337214
