year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6,bto_units_effective,bto_demand_addition,forecast_demand_children
2026,ANG MO KIO,ANG MO KIO TOWN CENTRE,XGBoost,156.21470642089844,0.0,0.0,156.21470642089844
2026,ANG MO KIO,CHENG SAN,XGBoost,812.1146240234375,0.0,0.0,812.1146240234375
2026,ANG MO KIO,CHONG BOON,XGBoost,659.2286987304688,0.0,0.0,659.2286987304688
2026,ANG MO KIO,KEBUN BAHRU,XGBoost,615.7265014648438,0.0,0.0,615.7265014648438
2026,ANG MO KIO,SEMBAWANG HILLS,XGBoost,288.8803405761719,0.0,0.0,288.8803405761719
2026,ANG MO KIO,SHANGRI LA,XGBoost,776.6061401367188,126.66666666666667,15.200000000000001,776.6061401367188
2026,ANG MO KIO,TAGORE,XGBoost,253.10951232910156,0.0,0.0,253.10951232910156
2026,ANG MO KIO,TOWNSVILLE,XGBoost,528.9183349609375,0.0,0.0,528.9183349609375
2026,ANG MO KIO,YIO CHU KANG,XGBoost,0.0,0.0,0.0,0.0
2026,ANG MO KIO,YIO CHU KANG EAST,XGBoost,156.21470642089844,0.0,0.0,156.21470642089844
2026,ANG MO KIO,YIO CHU KANG NORTH,XGBoost,0.0,0.0,0.0,0.0
2026,ANG MO KIO,YIO CHU KANG WEST,XGBoost,825.8856201171875,151.33333333333334,18.16,825.8856201171875
2026,BEDOK,BAYSHORE,XGBoost,367.79766845703125,0.0,0.0,367.79766845703125
2026,BEDOK,BEDOK NORTH,XGBoost,2647.624755859375,0.0,0.0,2647.624755859375
2026,BEDOK,BEDOK RESERVOIR,XGBoost,1043.0313720703125,0.0,0.0,1043.0313720703125
2026,BEDOK,BEDOK SOUTH,XGBoost,1708.8585205078125,0.0,0.0,1708.8585205078125
2026,BEDOK,FRANKEL,XGBoost,1716.3419189453125,0.0,0.0,1716.3419189453125
2026,BEDOK,KAKI BUKIT,XGBoost,1246.435302734375,0.0,0.0,1246.435302734375
2026,BEDOK,KEMBANGAN,XGBoost,1200.9854736328125,0.0,0.0,1200.9854736328125
2026,BEDOK,SIGLAP,XGBoost,236.02688598632812,0.0,0.0,236.02688598632812
2026,BISHAN,BISHAN EAST,XGBoost,992.153564453125,157.33333333333334,18.88,992.153564453125
2026,BISHAN,MARYMOUNT,XGBoost,1192.9342041015625,0.0,0.0,1192.9342041015625
2026,BISHAN,UPPER THOMSON,XGBoost,1429.889404296875,0.0,0.0,1429.889404296875
2026,BOON LAY,LIU FANG,XGBoost,1.1381860971450806,0.0,0.0,1.1381860971450806
2026,BOON LAY,SAMULUN,XGBoost,1.1381860971450806,0.0,0.0,1.1381860971450806
2026,BOON LAY,SHIPYARD,XGBoost,1.1381860971450806,0.0,0.0,1.1381860971450806
2026,BOON LAY,TUKANG,XGBoost,1.1381860971450806,0.0,0.0,1.1381860971450806
2026,BUKIT BATOK,BRICKWORKS,XGBoost,3486.908935546875,56.333333333333336,6.759999999999999,3486.908935546875
2026,BUKIT BATOK,BUKIT BATOK CENTRAL,XGBoost,1200.53173828125,0.0,0.0,1200.53173828125
2026,BUKIT BATOK,BUKIT BATOK EAST,XGBoost,323.8924560546875,0.0,0.0,323.8924560546875
2026,BUKIT BATOK,BUKIT BATOK SOUTH,XGBoost,606.2394409179688,0.0,0.0,606.2394409179688
2026,BUKIT BATOK,BUKIT BATOK WEST,XGBoost,570.0374145507812,0.0,0.0,570.0374145507812
2026,BUKIT BATOK,GOMBAK,XGBoost,298.14459228515625,0.0,0.0,298.14459228515625
2026,BUKIT BATOK,GUILIN,XGBoost,441.8266296386719,0.0,0.0,441.8266296386719
2026,BUKIT BATOK,HILLVIEW,XGBoost,593.5469360351562,0.0,0.0,593.5469360351562
2026,BUKIT BATOK,HONG KAH NORTH,XGBoost,813.70947265625,0.0,0.0,813.70947265625
2026,BUKIT MERAH,ALEXANDRA HILL,XGBoost,516.2800903320312,0.0,0.0,516.2800903320312
2026,BUKIT MERAH,ALEXANDRA NORTH,XGBoost,190.9115753173828,0.0,0.0,190.9115753173828
2026,BUKIT MERAH,BUKIT HO SWEE,XGBoost,415.53741455078125,0.0,0.0,415.53741455078125
2026,BUKIT MERAH,BUKIT MERAH,XGBoost,2.8795855045318604,0.0,0.0,2.8795855045318604
2026,BUKIT MERAH,CITY TERMINALS,XGBoost,1.1381860971450806,0.0,0.0,1.1381860971450806
2026,BUKIT MERAH,DEPOT ROAD,XGBoost,298.14459228515625,0.0,0.0,298.14459228515625
2026,BUKIT MERAH,EVERTON PARK,XGBoost,196.95587158203125,0.0,0.0,196.95587158203125
2026,BUKIT MERAH,HENDERSON HILL,XGBoost,390.2580261230469,0.0,0.0,390.2580261230469
2026,BUKIT MERAH,KAMPONG TIONG BAHRU,XGBoost,323.8924560546875,0.0,0.0,323.8924560546875
2026,BUKIT MERAH,MARITIME SQUARE,XGBoost,298.3842468261719,0.0,0.0,298.3842468261719
2026,BUKIT MERAH,REDHILL,XGBoost,414.3771667480469,0.0,0.0,414.3771667480469
2026,BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,BUKIT MERAH,TELOK BLANGAH DRIVE,XGBoost,947.296630859375,0.0,0.0,947.296630859375
2026,BUKIT MERAH,TELOK BLANGAH RISE,XGBoost,313.44482421875,0.0,0.0,313.44482421875
2026,BUKIT MERAH,TELOK BLANGAH WAY,XGBoost,199.20372009277344,0.0,0.0,199.20372009277344
2026,BUKIT MERAH,TIONG BAHRU,XGBoost,465.8193054199219,0.0,0.0,465.8193054199219
2026,BUKIT MERAH,TIONG BAHRU STATION,XGBoost,518.7401123046875,0.0,0.0,518.7401123046875
2026,BUKIT PANJANG,BANGKIT,XGBoost,668.53173828125,0.0,0.0,668.53173828125
