year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6,bto_units_effective,bto_demand_addition,forecast_demand_children,num_centres,estimated_capacity,shortfall_children,additional_centres_needed,priority_score,priority_rank
2026,TAMPINES,TAMPINES NORTH,XGBoost,5423.80712890625,449.6666666666667,53.96,5423.80712890625,10.0,1000.0,4423.80712890625,45,49531.72712890625,1
2026,PUNGGOL,MATILDA,XGBoost,3642.145751953125,0.0,0.0,3642.145751953125,14.0,1400.0,2242.145751953125,23,25242.145751953125,2
2026,SENGKANG,FERNVALE,XGBoost,4571.267578125,311.0,37.32,4571.267578125,23.0,2400.0,2171.267578125,22,24245.907578125,3
2026,BUKIT BATOK,BRICKWORKS,XGBoost,3486.908935546875,56.333333333333336,6.759999999999999,3486.908935546875,12.0,1300.0,2186.908935546875,22,24200.428935546875,4
2026,YISHUN,YISHUN EAST,XGBoost,4726.91650390625,613.0,73.56,4726.91650390625,26.0,2700.0,2026.91650390625,21,23174.03650390625,5
2026,PUNGGOL,NORTHSHORE,XGBoost,3220.30126953125,1612.0,193.44,3220.30126953125,17.0,1700.0,1520.30126953125,16,17907.18126953125,6
2026,CHOA CHU KANG,KEAT HONG,XGBoost,2725.985107421875,190.33333333333334,22.84,2725.985107421875,12.0,1200.0,1525.985107421875,16,17571.665107421875,7
2026,PUNGGOL,WATERWAY EAST,XGBoost,3743.553955078125,0.0,0.0,3743.553955078125,22.0,2200.0,1543.553955078125,16,17543.553955078125,8
2026,SENGKANG,ANCHORVALE,XGBoost,3356.141357421875,0.0,0.0,3356.141357421875,19.0,1900.0,1456.141357421875,15,16456.141357421875,9
2026,SEMBAWANG,SEMBAWANG EAST,XGBoost,2406.586181640625,0.0,0.0,2406.586181640625,9.0,1000.0,1406.586181640625,15,16406.586181640625,10
2026,TENGAH,PLANTATION,XGBoost,1871.0802001953125,1013.3333333333334,121.60000000000001,1871.0802001953125,5.0,500.0,1371.0802001953125,14,15614.280200195313,11
2026,TAMPINES,TAMPINES WEST,XGBoost,4988.31982421875,1369.6666666666665,164.36,4988.31982421875,38.0,3800.0,1188.31982421875,12,13517.03982421875,12
2026,WOODLANDS,WOODLANDS WEST,XGBoost,1857.982177734375,0.0,0.0,1857.982177734375,8.0,800.0,1057.982177734375,11,12057.982177734375,13
2026,TOA PAYOH,BIDADARI,XGBoost,1504.8568115234375,700.3333333333334,84.04,1504.8568115234375,6.0,600.0,904.8568115234375,10,11072.936811523437,14
2026,WOODLANDS,WOODLANDS SOUTH,XGBoost,2032.204345703125,357.0,42.839999999999996,2032.204345703125,10.0,1100.0,932.204345703125,10,11017.884345703125,15
2026,YISHUN,LOWER SELETAR,XGBoost,1562.656005859375,0.0,0.0,1562.656005859375,6.0,600.0,962.656005859375,10,10962.656005859375,16
2026,HOUGANG,TRAFALGAR,XGBoost,2052.25048828125,0.0,0.0,2052.25048828125,12.0,1200.0,852.25048828125,9,9852.25048828125,17
2026,JURONG WEST,BOON LAY PLACE,XGBoost,1428.99853515625,0.0,0.0,1428.99853515625,6.0,600.0,828.99853515625,9,9828.99853515625,18
2026,HOUGANG,KANGKAR,XGBoost,1648.18701171875,0.0,0.0,1648.18701171875,9.0,900.0,748.18701171875,8,8748.18701171875,19
2026,TENGAH,GARDEN,XGBoost,1171.374755859375,1416.0,169.92000000000002,1171.374755859375,5.0,500.0,671.374755859375,7,8011.214755859375,20
2026,BUKIT PANJANG,SENJA,XGBoost,1359.1571044921875,0.0,0.0,1359.1571044921875,7.0,700.0,659.1571044921875,7,7659.1571044921875,21
2026,TOA PAYOH,SENNETT,XGBoost,1924.560791015625,117.66666666666667,14.12,1924.560791015625,13.0,1300.0,624.560791015625,7,7652.800791015625,22
2026,CHOA CHU KANG,YEW TEE,XGBoost,1388.29931640625,0.0,0.0,1388.29931640625,8.0,800.0,588.29931640625,6,6588.29931640625,23
2026,HOUGANG,HOUGANG EAST,XGBoost,1066.712890625,0.0,0.0,1066.712890625,5.0,500.0,566.712890625,6,6566.712890625,24
2026,CLEMENTI,FABER,XGBoost,645.5872802734375,0.0,0.0,645.5872802734375,1.0,100.0,545.5872802734375,6,6545.5872802734375,25
2026,PUNGGOL,PUNGGOL FIELD,XGBoost,2125.69287109375,0.0,0.0,2125.69287109375,16.0,1600.0,525.69287109375,6,6525.69287109375,26
2026,TOA PAYOH,BOON TECK,XGBoost,703.57568359375,0.0,0.0,703.57568359375,2.0,200.0,503.57568359375,6,6503.57568359375,27
2026,HOUGANG,HOUGANG WEST,XGBoost,1388.29931640625,0.0,0.0,1388.29931640625,9.0,900.0,488.29931640625,5,5488.29931640625,28
2026,CLEMENTI,CLEMENTI NORTH,XGBoost,1476.5985107421875,0.0,0.0,1476.5985107421875,10.0,1000.0,476.5985107421875,5,5476.5985107421875,29
2026,SENGKANG,SENGKANG TOWN CENTRE,XGBoost,2762.132568359375,0.0,0.0,2762.132568359375,23.0,2300.0,462.132568359375,5,5462.132568359375,30
2026,BUKIT MERAH,TELOK BLANGAH DRIVE,XGBoost,947.296630859375,0.0,0.0,947.296630859375,5.0,500.0,447.296630859375,5,5447.296630859375,31
2026,PASIR RIS,PASIR RIS CENTRAL,XGBoost,1457.046630859375,356.6666666666667,42.800000000000004,1457.046630859375,11.0,1100.0,357.046630859375,4,4442.646630859375,32
2026,TOA PAYOH,TOA PAYOH WEST,XGBoost,551.8212890625,306.6666666666667,36.8,551.8212890625,2.0,200.0,351.8212890625,4,4425.4212890625,33
2026,JURONG EAST,YUHUA WEST,XGBoost,570.277099609375,0.0,0.0,570.277099609375,2.0,200.0,370.277099609375,4,4370.277099609375,34
