year,supply_scenario,total_forecast_demand,total_estimated_capacity,total_shortfall_children,total_additional_centres_needed,subzones_with_shortfall
2026,base_preschool,195689.39361843467,171700.0,49028.00177130103,645,211
2026,broad_all,195689.39361843467,180200.0,43349.40229925513,582,199
2026,strict_childcare,195689.39361843467,150600.0,62865.74178609252,797,239
2027,base_preschool,194054.94125899673,171700.0,47847.48544475436,634,212
2027,broad_all,194054.94125899673,180200.0,42649.73185893893,573,197
2027,strict_childcare,194054.94125899673,150600.0,61338.97297999263,783,240
2028,base_preschool,192261.21553131938,171700.0,47045.614219754934,621,211
2028,broad_all,192261.21553131938,180200.0,41943.38220986724,561,196
2028,strict_childcare,192261.21553131938,150600.0,59735.088830798864,762,236
2029,base_preschool,191452.49870845675,171700.0,47707.55691859126,630,213
2029,broad_all,191452.49870845675,180200.0,42725.18956324458,571,198
2029,strict_childcare,191452.49870845675,150600.0,59755.201863497496,760,233
2030,base_preschool,191773.62955150008,171700.0,49492.817453593016,648,212
2030,broad_all,191773.62955150008,180200.0,44532.65363523364,592,199
2030,strict_childcare,191773.62955150008,150600.0,61274.28503033519,775,230
