planning_area_clean,subzone_clean,num_centres,estimated_capacity,supply_scenario
ANG MO KIO,ANG MO KIO TOWN CENTRE,3,300,base_preschool
ANG MO KIO,CHENG SAN,6,600,base_preschool
ANG MO KIO,CHONG BOON,3,300,base_preschool
ANG MO KIO,KEBUN BAHRU,9,900,base_preschool
ANG MO KIO,SEMBAWANG HILLS,3,300,base_preschool
ANG MO KIO,SHANGRI LA,8,800,base_preschool
ANG MO KIO,TAGORE,4,400,base_preschool
ANG MO KIO,TOWNSVILLE,5,500,base_preschool
ANG MO KIO,YIO CHU KANG,5,500,base_preschool
ANG MO KIO,YIO CHU KANG EAST,6,600,base_preschool
ANG MO KIO,YIO CHU KANG WEST,7,700,base_preschool
BEDOK,BAYSHORE,3,300,base_preschool
BEDOK,BEDOK NORTH,27,2700,base_preschool
BEDOK,BEDOK RESERVOIR,7,700,base_preschool
BEDOK,BEDOK SOUTH,15,1500,base_preschool
BEDOK,FRANKEL,24,2400,base_preschool
BEDOK,KAKI BUKIT,10,1000,base_preschool
BEDOK,KEMBANGAN,13,1300,base_preschool
BEDOK,SIGLAP,2,200,base_preschool
BISHAN,BISHAN EAST,11,1100,base_preschool
BISHAN,MARYMOUNT,12,1200,base_preschool
BISHAN,UPPER THOMSON,14,1400,base_preschool
BUKIT BATOK,BRICKWORKS,12,1300,base_preschool
BUKIT BATOK,BUKIT BATOK CENTRAL,9,900,base_preschool
BUKIT BATOK,BUKIT BATOK EAST,4,400,base_preschool
BUKIT BATOK,BUKIT BATOK SOUTH,7,700,base_preschool
BUKIT BATOK,BUKIT BATOK WEST,5,500,base_preschool
BUKIT BATOK,GOMBAK,4,400,base_preschool
BUKIT BATOK,GUILIN,4,400,base_preschool
BUKIT BATOK,HILLVIEW,10,1000,base_preschool
BUKIT BATOK,HONG KAH NORTH,7,700,base_preschool
BUKIT MERAH,ALEXANDRA HILL,9,900,base_preschool
BUKIT MERAH,ALEXANDRA NORTH,3,300,base_preschool
BUKIT MERAH,BUKIT HO SWEE,5,500,base_preschool
BUKIT MERAH,BUKIT MERAH,1,100,base_preschool
BUKIT MERAH,DEPOT ROAD,4,400,base_preschool
BUKIT MERAH,HENDERSON HILL,2,200,base_preschool
BUKIT MERAH,KAMPONG TIONG BAHRU,2,200,base_preschool
BUKIT MERAH,REDHILL,1,100,base_preschool
BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,1,100,base_preschool
BUKIT MERAH,TELOK BLANGAH DRIVE,5,500,base_preschool
