year,priority_rank,planning_area_clean,subzone_clean,forecast_demand_children,num_centres,estimated_capacity,shortfall_children,additional_centres_needed,bto_demand_addition,model
2026,1,TAMPINES,TAMPINES NORTH,5423.80712890625,10.0,1000.0,4423.80712890625,45,53.96,XGBoost
2026,2,PUNGGOL,MATILDA,3642.145751953125,14.0,1400.0,2242.145751953125,23,0.0,XGBoost
2026,3,SENGKANG,FERNVALE,4571.267578125,23.0,2400.0,2171.267578125,22,37.32,XGBoost
2026,4,BUKIT BATOK,BRICKWORKS,3486.908935546875,12.0,1300.0,2186.908935546875,22,6.759999999999999,XGBoost
2026,5,YISHUN,YISHUN EAST,4726.91650390625,26.0,2700.0,2026.91650390625,21,73.56,XGBoost
2026,6,PUNGGOL,NORTHSHORE,3220.30126953125,17.0,1700.0,1520.30126953125,16,193.44,XGBoost
2026,7,CHOA CHU KANG,KEAT HONG,2725.985107421875,12.0,1200.0,1525.985107421875,16,22.84,XGBoost
2026,8,PUNGGOL,WATERWAY EAST,3743.553955078125,22.0,2200.0,1543.553955078125,16,0.0,XGBoost
2026,9,SENGKANG,ANCHORVALE,3356.141357421875,19.0,1900.0,1456.141357421875,15,0.0,XGBoost
2026,10,SEMBAWANG,SEMBAWANG EAST,2406.586181640625,9.0,1000.0,1406.586181640625,15,0.0,XGBoost
2026,11,TENGAH,PLANTATION,1871.0802001953125,5.0,500.0,1371.0802001953125,14,121.60000000000001,XGBoost
2026,12,TAMPINES,TAMPINES WEST,4988.31982421875,38.0,3800.0,1188.31982421875,12,164.36,XGBoost
2026,13,WOODLANDS,WOODLANDS WEST,1857.982177734375,8.0,800.0,1057.982177734375,11,0.0,XGBoost
2026,14,TOA PAYOH,BIDADARI,1504.8568115234375,6.0,600.0,904.8568115234375,10,84.04,XGBoost
2026,15,WOODLANDS,WOODLANDS SOUTH,2032.204345703125,10.0,1100.0,932.204345703125,10,42.839999999999996,XGBoost
2026,16,YISHUN,LOWER SELETAR,1562.656005859375,6.0,600.0,962.656005859375,10,0.0,XGBoost
2026,17,HOUGANG,TRAFALGAR,2052.25048828125,12.0,1200.0,852.25048828125,9,0.0,XGBoost
2026,18,JURONG WEST,BOON LAY PLACE,1428.99853515625,6.0,600.0,828.99853515625,9,0.0,XGBoost
2026,19,HOUGANG,KANGKAR,1648.18701171875,9.0,900.0,748.18701171875,8,0.0,XGBoost
2026,20,TENGAH,GARDEN,1171.374755859375,5.0,500.0,671.374755859375,7,169.92000000000002,XGBoost
2027,1,TAMPINES,TAMPINES NORTH,5098.3896484375,10.0,1000.0,4098.3896484375,41,0.0,XGBoost
2027,2,PUNGGOL,MATILDA,3590.290283203125,14.0,1400.0,2190.290283203125,22,0.0,XGBoost
